sentenceIndex,totalReadingTime,Index,Word
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,1402,17.0, reprezintă 
158.0,0,18.0, o 
158.0,0,18.0, o 
158.0,0,18.0, o 
158.0,0,18.0, o 
158.0,0,18.0, o 
158.0,0,18.0, o 
158.0,0,18.0, o 
158.0,393,18.0, o 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,0,19.0, problemă 
158.0,1303,19.0, problemă 
158.0,0,20.0, importantă 
158.0,0,20.0, importantă 
158.0,0,20.0, importantă 
158.0,0,20.0, importantă 
158.0,0,20.0, importantă 
158.0,0,20.0, importantă 
158.0,0,20.0, importantă 
158.0,0,20.0, importantă 
158.0,0,20.0, importantă 
158.0,0,20.0, importantă 
158.0,0,20.0, importantă 
158.0,0,20.0, importantă 
158.0,0,20.0, importantă 
158.0,0,20.0, importantă 
158.0,0,20.0, importantă 
158.0,0,20.0, importantă 
158.0,0,20.0, importantă 
158.0,0,20.0, importantă 
158.0,950,20.0, importantă 
158.0,54,21.0, în 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,0,22.0, ingineria 
158.0,1447,22.0, ingineria 
158.0,0,23.0, circuitelor 
158.0,0,23.0, circuitelor 
158.0,0,23.0, circuitelor 
158.0,0,23.0, circuitelor 
158.0,0,23.0, circuitelor 
158.0,0,23.0, circuitelor 
158.0,0,23.0, circuitelor 
158.0,0,23.0, circuitelor 
158.0,0,23.0, circuitelor 
158.0,0,23.0, circuitelor 
158.0,0,23.0, circuitelor 
158.0,0,23.0, circuitelor 
158.0,0,23.0, circuitelor 
158.0,0,23.0, circuitelor 
158.0,750,23.0, circuitelor 
158.0,0,24.0, electrice. 
158.0,0,24.0, electrice. 
158.0,0,24.0, electrice. 
158.0,0,24.0, electrice. 
158.0,0,24.0, electrice. 
158.0,0,24.0, electrice. 
158.0,0,24.0, electrice. 
158.0,0,24.0, electrice. 
158.0,0,24.0, electrice. 
158.0,0,24.0, electrice. 
158.0,0,24.0, electrice. 
158.0,0,24.0, electrice. 
158.0,0,24.0, electrice. 
158.0,0,24.0, electrice. 
158.0,0,24.0, electrice. 
158.0,0,24.0, electrice. 
158.0,654,24.0, electrice. 
,0,,
,0,,
,-17835,,
124.0,0,29.0, găsească 
124.0,0,29.0, găsească 
124.0,0,29.0, găsească 
124.0,0,29.0, găsească 
124.0,0,29.0, găsească 
124.0,0,29.0, găsească 
124.0,0,29.0, găsească 
124.0,0,29.0, găsească 
124.0,0,29.0, găsească 
124.0,0,29.0, găsească 
124.0,0,29.0, găsească 
124.0,0,29.0, găsească 
124.0,0,29.0, găsească 
124.0,0,29.0, găsească 
124.0,0,29.0, găsească 
124.0,0,29.0, găsească 
124.0,0,29.0, găsească 
124.0,0,29.0, găsească 
124.0,0,29.0, găsească 
124.0,1000,29.0, găsească 
124.0,0,0.0, Acest 
124.0,0,0.0, Acest 
124.0,0,0.0, Acest 
124.0,200,0.0, Acest 
124.0,0,1.0, lucru 
124.0,0,1.0, lucru 
124.0,0,1.0, lucru 
124.0,0,1.0, lucru 
124.0,0,1.0, lucru 
124.0,296,1.0, lucru 
124.0,0,2.0, este 
124.0,0,2.0, este 
124.0,0,2.0, este 
124.0,0,2.0, este 
124.0,0,2.0, este 
124.0,0,2.0, este 
124.0,0,2.0, este 
124.0,0,2.0, este 
124.0,456,2.0, este 
124.0,0,3.0," foarte, "
124.0,0,3.0," foarte, "
124.0,0,3.0," foarte, "
124.0,0,3.0," foarte, "
124.0,0,3.0," foarte, "
124.0,0,3.0," foarte, "
124.0,351,3.0," foarte, "
124.0,0,4.0, foarte 
124.0,0,4.0, foarte 
124.0,0,4.0, foarte 
124.0,0,4.0, foarte 
124.0,0,4.0, foarte 
124.0,0,4.0, foarte 
124.0,0,4.0, foarte 
124.0,0,4.0, foarte 
124.0,0,4.0, foarte 
124.0,0,4.0, foarte 
124.0,0,4.0, foarte 
124.0,597,4.0, foarte 
124.0,0,5.0, diferit 
124.0,0,5.0, diferit 
124.0,0,5.0, diferit 
124.0,0,5.0, diferit 
124.0,0,5.0, diferit 
124.0,0,5.0, diferit 
124.0,0,5.0, diferit 
124.0,0,5.0, diferit 
124.0,452,5.0, diferit 
124.0,0,6.0, de 
124.0,0,6.0, de 
124.0,0,6.0, de 
124.0,0,6.0, de 
124.0,0,6.0, de 
124.0,295,6.0, de 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
124.0,0,7.0, modelele 
