responseTime,Index,mousePositionX,mousePositionY,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,experiment_start_time,experiment_end_time,experiment_duration
,,,,,,,,,,,,
1799,-1,347,230,NA,NA,NA,NA,NA,NA,1740035208062,1740039019278,3811216
1693,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
1754,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
1817,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
1881,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
1943,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
2006,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
2068,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
2126,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
2186,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
2236,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
2302,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
2353,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
2403,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
2453,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
2503,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
2554,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
2603,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
2668,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
2719,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
2769,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
2820,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
2869,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
2920,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
2984,0,426,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
3036,0,442,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
3102,0,446,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
3168,0,452,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
3218,0,455,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
3269,0,455,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
3318,0,455,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
3369,0,455,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
3419,0,455,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
3470,0,455,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
3529,0,458,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
3584,0,467,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
